Frequencies, 20, 25, 31.5, 40, 50, 63, 80, 100, 125, 160, 200, 250, 315, 400, 500, 630, 800, 1000, 1250, 1600, 2000, 2500, 3150, 4000, 5000, 6300, 8000, 10000, 12500, 16000, 20000
CR3_stagePanels, 0.045, 0.058, 0.049, 0.047, 0.042, 0.050, 0.051, 0.044, 0.043, 0.045, 0.095, 0.080, 0.085, 0.079, 0.085, 0.084, 0.082, 0.078, 0.076, 0.072, 0.070, 0.081, 0.100, 0.108, 0.096, 0.097, 0.099, 0.103, 0.112, 0.100, 0.098
CR3_stagePanels, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.054, 0.060, 0.068, 0.076, 0.085, 0.095, 0.108, 0.121
CR3_structuredPlaster, 0.092, 0.074, 0.091, 0.078, 0.084, 0.104, 0.098, 0.106, 0.133, 0.161, 0.070, 0.115, 0.117, 0.140, 0.151, 0.157, 0.160, 0.151, 0.142, 0.119, 0.136, 0.155, 0.129, 0.139, 0.131, 0.124, 0.121, 0.124, 0.130, 0.110, 0.094
CR3_structuredPlaster, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.054, 0.060, 0.067, 0.075, 0.085, 0.095, 0.107, 0.121, 0.135, 0.152, 0.171, 0.191, 0.213, 0.241, 0.270, 0.302, 0.339, 0.382, 0.427, 0.481, 0.540, 0.604, 0.675, 0.764, 0.854
CR3_windows, 0.187, 0.172, 0.134, 0.145, 0.164, 0.176, 0.243, 0.125, 0.166, 0.106, 0.195, 0.096, 0.112, 0.099, 0.070, 0.044, 0.054, 0.058, 0.079, 0.067, 0.107, 0.089, 0.068, 0.076, 0.087, 0.084, 0.082, 0.085, 0.091, 0.079, 0.071
CR3_windows, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.054, 0.060, 0.068, 0.076, 0.085, 0.096, 0.108, 0.121, 0.135, 0.153, 0.171
CR4_brickwall, 0.114, 0.087, 0.115, 0.114, 0.128, 0.157, 0.124, 0.156, 0.188, 0.181, 0.156, 0.097, 0.275, 0.279, 0.198, 0.134, 0.122, 0.079, 0.140, 0.252, 0.205, 0.110, 0.114, 0.155, 0.230, 0.224, 0.214, 0.194, 0.222, 0.217, 0.162
CR4_brickwall, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.052, 0.058, 0.066, 0.074, 0.083, 0.094, 0.105, 0.117, 0.132, 0.148, 0.165, 0.187, 0.209, 0.234, 0.262, 0.296, 0.331, 0.373, 0.418, 0.468, 0.523, 0.591, 0.661
CR4_concrete, 0.032, 0.051, 0.047, 0.037, 0.059, 0.040, 0.080, 0.072, 0.080, 0.060, 0.059, 0.069, 0.056, 0.062, 0.071, 0.075, 0.073, 0.067, 0.021, 0.018, 0.037, 0.032, 0.028, 0.050, 0.073, 0.071, 0.067, 0.061, 0.067, 0.063, 0.043
CR4_concrete, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.054, 0.060, 0.068, 0.076, 0.085, 0.096, 0.108, 0.121, 0.136, 0.153, 0.171, 0.191, 0.216, 0.241
CR4_linoleum, 0.091, 0.098, 0.065, 0.081, 0.106, 0.142, 0.200, 0.106, 0.109, 0.079, 0.074, 0.083, 0.062, 0.064, 0.072, 0.071, 0.059, 0.066, 0.092, 0.109, 0.109, 0.120, 0.107, 0.092, 0.070, 0.066, 0.064, 0.059, 0.070, 0.074, 0.062
CR4_linoleum, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.054, 0.060, 0.067, 0.076, 0.085, 0.095, 0.107, 0.121, 0.135, 0.152, 0.171, 0.191, 0.213, 0.241, 0.270
CR4_parquet, 0.060, 0.050, 0.045, 0.041, 0.046, 0.076, 0.109, 0.078, 0.057, 0.040, 0.037, 0.042, 0.030, 0.031, 0.034, 0.034, 0.032, 0.049, 0.062, 0.086, 0.074, 0.100, 0.117, 0.104, 0.082, 0.077, 0.074, 0.067, 0.077, 0.075, 0.056
CR4_parquet, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.054, 0.060, 0.067, 0.076, 0.085, 0.095, 0.107, 0.121, 0.135, 0.152, 0.171, 0.191, 0.213, 0.241, 0.270
CR4_seating, 0.126, 0.078, 0.079, 0.089, 0.108, 0.156, 0.128, 0.223, 0.091, 0.137, 0.174, 0.239, 0.208, 0.225, 0.291, 0.335, 0.346, 0.301, 0.400, 0.322, 0.270, 0.340, 0.368, 0.354, 0.300, 0.299, 0.298, 0.295, 0.352, 0.352, 0.299
CR4_seating, 0.085, 0.095, 0.107, 0.121, 0.135, 0.151, 0.171, 0.191, 0.213, 0.238, 0.270, 0.302, 0.339, 0.382, 0.427, 0.479, 0.540, 0.604, 0.675, 0.764, 0.854, 0.955, 0.990, 0.990, 0.990, 0.990, 0.990, 0.990, 0.990, 0.990, 0.990
CR4_whitePanels, 0.072, 0.078, 0.084, 0.087, 0.097, 0.073, 0.109, 0.090, 0.091, 0.066, 0.062, 0.068, 0.050, 0.050, 0.057, 0.054, 0.053, 0.089, 0.073, 0.066, 0.081, 0.092, 0.101, 0.083, 0.060, 0.055, 0.054, 0.051, 0.063, 0.071, 0.064
CR4_whitePanels, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.054, 0.060, 0.068, 0.076, 0.085, 0.096, 0.108, 0.121, 0.135, 0.153, 0.171
CR4_windows, 0.163, 0.120, 0.109, 0.098, 0.122, 0.121, 0.203, 0.139, 0.140, 0.099, 0.098, 0.072, 0.059, 0.066, 0.053, 0.037, 0.048, 0.049, 0.081, 0.064, 0.083, 0.078, 0.051, 0.051, 0.054, 0.052, 0.049, 0.045, 0.053, 0.053, 0.041
CR4_windows, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.054, 0.060, 0.068, 0.076, 0.085, 0.096, 0.108, 0.121, 0.135, 0.153, 0.171
CR4_woodPanels, 0.046, 0.051, 0.044, 0.038, 0.055, 0.069, 0.054, 0.058, 0.071, 0.105, 0.124, 0.148, 0.114, 0.119, 0.158, 0.143, 0.160, 0.124, 0.157, 0.135, 0.108, 0.127, 0.143, 0.128, 0.103, 0.103, 0.101, 0.097, 0.122, 0.140, 0.129
CR4_woodPanels, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.052, 0.058, 0.066, 0.074, 0.083, 0.094, 0.105, 0.117, 0.132, 0.148, 0.165, 0.187, 0.209, 0.234, 0.262, 0.296, 0.331, 0.373, 0.418, 0.468, 0.523, 0.591, 0.661
